country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
IDN,65,2.241865598604433,1.636497385112413,35119285.00404797,17417005.64119627,17821312.73036396,11907750.37781292,.80730838,.72997123
IDN,66,2.241865598604434,1.636497385112413,35119285.00404797,17417005.64119627,17821312.73036396,11907750.37781292,.80730838,.72997123
IDN,68,1.229051359814576,1.342729250383922,37720.64801110015,30731.34739619509,44177.24778992051,32939.849735378,.20624262,.91533822
IDN,69,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985455,.82407546,.75905818
IDN,70,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985454,.82407546,.75905818
IDN,71,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985454,.82407546,.75905818
IDN,72,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985455,.82407546,.75905818
IDN,73,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985454,.82407546,.75905818
IDN,74,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985453,.82407546,.75905818
IDN,75,2.279772072972102,1.730479612976383,34801.53064365614,13661.82137670744,9613.52803496874,5519.614854985454,.82407546,.75905818
IDN,77,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957976,5053.082068426872,.97000784,.66040891
IDN,78,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957974,5053.082068426871,.97000784,.66040891
IDN,79,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957976,5053.082068426872,.97000784,.66040891
IDN,80,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957976,5053.082068426872,.97000784,.66040891
IDN,81,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957976,5053.082068426872,.97000784,.66040891
IDN,82,2.637965133841352,1.742135619412458,34369.0189785689,13028.04415036237,8798.439616957976,5053.082068426872,.97000784,.66040891
IDN,84,1.312319980499492,1.676412659833547,154442.1438864728,69478.47580687905,82775.20705022871,49211.86581388368,.27179655,.78281438
IDN,85,1.0885300449593,1.557341147957875,3196408.565419778,2254134.17988106,5537566.515154002,3094582.102446997,.084828205,.69896698
IDN,86,1.14847351027566,1.852885109880724,3175972.338233094,2234155.283062674,5507765.25018262,3071965.961446281,.13843368,.61982983
IDN,87,1.085889695104657,1.59916257554582,5811550.941795059,4086910.262793761,10060212.46063946,5614619.658093079,.082399644,.67903644
IDN,88,1.085889695104657,1.59916257554582,5811550.941795059,4086910.262793761,10060212.46063946,5614619.658093079,.082399644,.67903644
IDN,90,1.53388587762706,1.862119873763791,23244.97552034296,12913.0056642902,26839.05203330417,14216.21971124908,.42780429,.82373101
IDN,91,1.53388587762706,1.862119873763791,23244.97552034296,12913.0056642902,26839.05203330417,14216.21971124908,.42780429,.82373101
IDN,92,1.53388587762706,1.862119873763791,23244.97552034296,12913.0056642902,26839.05203330417,14216.21971124909,.42780429,.82373101
IDN,93,1.53388587762706,1.862119873763791,23244.97552034296,12913.0056642902,26839.05203330417,14216.21971124908,.42780429,.82373101
IDN,94,1.590405638880638,1.86468960068165,26648.87476780483,15494.05639877079,32536.81346779676,17368.42854083277,.46398911,.85290635
IDN,95,1.590405638880638,1.86468960068165,26648.87476780483,15494.05639877079,32536.81346779676,17368.42854083277,.46398911,.85290635
IDN,96,1.590405638880638,1.86468960068165,26648.87476780483,15494.05639877079,32536.81346779676,17368.42854083277,.46398911,.85290635
IDN,97,1.005844914636555,1.118782610393675,23315.30549205825,22646.06010933158,52968.24503216641,32409.33703405425,.0058278996,.89905304
IDN,98,1,1,4275.181219999899,4275.181219999899,4275.181219999899,4275.181219999899,0,1
IDN,99,1.283695649800276,1.349566057050777,4863147.444491729,4697921.047721418,12157456.5701644,7099596.390021749,.24974315,.95119143
KHM,1,2.080590600549559,1.773137031354452,165455.1119321557,63872.74190204031,28934.24795598197,18619.77310969178,.73265177,.85222775
KHM,2,2.085639339289461,1.740749464587369,113970.5402495295,44017.48566265666,19998.41978955705,12864.63166654659,.73507547,.83463591
