hs4,year,month,pred_exposure,notif_count
0702,2022,6,0.007398781280473504,1
0702,2022,10,0.018485868106796165,1
0702,2023,1,0.008402005840375705,1
0702,2023,3,0.00897960222517322,1
0702,2023,6,0.01195211721071487,1
0702,2023,8,0.01966446174510215,1
0702,2023,10,0.02663509909523549,2
0702,2024,6,0.008768269100045224,1
0702,2024,7,0.009394573774236996,1
0702,2024,9,0.015270008923344038,1
0702,2025,1,0.015827519706811507,2
0702,2025,7,0.013331397798098926,2
0702,2025,8,0.01630536719624022,2
0702,2025,9,0.09536515761790165,4
0702,2025,11,0.005554274622594759,1
0703,2021,3,0.01572349839919628,2
0703,2021,4,0.012660314665743303,1
0703,2021,6,0.050627923143477575,3
0703,2021,8,0.03962493674648743,3
0703,2021,11,0.010185492102478216,1
0703,2022,2,0.01685806607757068,1
0703,2022,6,0.004934410532938997,1
0703,2022,10,0.01232863343824355,1
0703,2023,1,0.005603483133902233,1
0703,2023,3,0.005988694910935592,1
0703,2023,6,0.00797113076056474,1
0703,2023,8,0.0131146635481294,1
0703,2023,10,0.017763535444447257,2
0703,2024,6,0.005847752185497469,1
0703,2024,7,0.006265448595758568,1
0703,2024,9,0.010183905972227791,1
0703,2025,1,0.010555722218428935,2
0703,2025,7,0.00889100342611144,2
0703,2025,8,0.010874409255603332,2
0703,2025,9,0.06360112840030407,4
0703,2025,11,0.003704268333069763,1
0704,2021,3,0.01358234672576179,2
0704,2021,4,0.010936292870813167,1
0704,2021,6,0.043733651931753416,3
0704,2021,8,0.03422900020167789,3
0704,2021,11,0.008798479943588068,1
